,Название,Описание,Место
71,Как Маша поссорилась с подушкой,"Сюжет необычной истории прост. Маленькая девочка, отдыхающая с родителями на даче в деревне, ложится вечером спать, но не может заснуть, потому что «кровать плохая, одеяло колючее, подушка жёсткая…». Девочка выходит из дома в ночной сад. Всем встречным она рассказывает о своих неприятностях. А встречные, собака, курица, летучая мышь, цапля, пытаются помочь девочке. Но ничего хорошего из этого не выходит. Маша возвращается домой и понимает, что у неё хорошая удобная кровать, мягкая подушка и тёплое одеяло, которым приятно укрыться после ночного путешествия. Так что, как говорится, в гостях хорошо, а дома лучше. Надо уметь ценить то, что имеешь: свою кроватку, свой дом, свою деревню или город, свою Родину, наконец! Об этом, в доступной для самых маленьких зрителей форме, рассказывает спектакль Тюменского театра кукол.",Музейный комплекс им. Словцова
72,Анна Франк,"Дневник 15-летней Анны Франк, погибшей в нацистском концлагере, потряс мир. Он входит в десятку самых читаемых книг, вышел миллионными тиражами на 70 языках. В дневнике Анна подробно описала, как ее семья и семья компаньона отца, спасаясь от преследования нацистов, два года скрывались на чердаке офисного здания в Амстердаме.

Два года!

Два года...

Два года тишины, темноты и... надежды. Они все очень хотели жить! Шутили, радовались, решали семейные проблемы, праздновали дни рождения, впервые влюблялись, обижались, смеялись, любили жизнь и ценили каждое ее мгновение....

В замкнутом пространстве, когда спрятаться друг от друга нет никакой возможности, чувства обостряются, а многие поступки вызывают сомнения. Каково это — быть спрятавшимися? Как выжить в этих страшных обстоятельствах, сохранив веру и надежду на будущее?",Тюменский драматический театр
73,Мой блистательный развод,"Есть ли жизнь после развода? Конечно, ещё какая!

Слезы и тоска? А как без этого!

Жалость к себе и полное отчаяние? Разумеется!

Новые приключения и открытия? Несомненно!

Хэппи-энд? Обязательно!",Тюменский драматический театр
74,"Стасик, играй!","Наш спектакль — это лирическая, музыкальная, добрая и светлая сказка для взрослых, наполненная всеми любимыми песнями и искрометными шутками, где молодому поколению зрителей представится удивительная возможность окунуться в замечательную пору влюбленности их родителей.

Сюжет незамысловат — стоит где-то, в каком-то городе старый дом, который вот-вот должны расселить, и живут в нём прекрасные люди, которые никак не хотят расставаться друг с другом и самоотверженно отстаивают свой дом от сноса!

Конечно же, в нашем спектакле будет любовь, а точнее влюбленный в серьезную девушку-строителя застенчивый библиотекарь, будут жизненные драмы, любовные баталии, тайные ночные свидания. Всё это напомнит вам любимые советские кинофильмы!

Эта история могла случиться в любом городе нашей огромной страны! Ведь в каждом городе есть свои старые дома, напоминающие корабли, которые населены дружной, никогда не унывающей командой, где все соседи живут, как одна большая семья, где взрослеют и стареют, влюбляются и воспитывают детей!

Мы приглашаем вас в театр всей семьей, с друзьями, родными и близкими, чтобы отдохнуть и повеселиться!

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.",Тюменский драматический театр
75,Артём Винокур,"Артём Винокур с новой стендап-программой «Вот это денёк»!

Победитель «Открытого микрофона», участник проектов «Решалы», Outside Stand Up и «Большое шоу» — Артём Винокур превращает реальную жизнь, будничные переживания и внезапные повороты судьбы в бесконечно смешной стендап!

Ироничный, ненапряжный и узнаваемый — его юмор позволяет взглянуть на повседневные сложности под неожиданным углом. Узнайте себя в его шутках, убедитесь, что не одиноки в своих заботах, и проживите этот день по-настоящему смешно!",ДК «Железнодорожник»
76,Рамис Ахметов и Лена Корнеева,"Стендап Урал представляет шоу на двоих!

Рамис Ахметов — самый музыкальный из комиков и самый смешной из музыкантов, финалист Comedy Баттл и участник Stand-Up на ТНТ. Востребованный в столице как участник стендап концертов, так и музыкант со своим проектом 33, теперь и на Урале!

Лена Корнеева — ведущая Comedy радио Москва, финалистка Comedy Баттл, участница шоу Не спать.

И всё это в концерте «Конфетно-букетный период», а почему так называется, вы узнаете, когда придете на шоу в вашем городе. На разогреве лучшие комики региона.

Стендап Урал — место выступления комиков со всей страны и не только.

Количество мест ограничено. Это нельзя пропустить!",Дом печати
77,Биография из леса,"Притча в двух частях с прологом и эпилогом для семейного просмотра
Пьеса Клавы Ильиной по мотивам романа Феликса Зальтена «Бэмби».

Лес — большой и древний дом для множества жизней, в нем рождаются и умирают разные обитатели сотни и тысячи лет.
Об одной из этих жизней мы и расскажем: однажды где-то в укромном месте посреди старого леса родился Герой, он рос среди своих сородичей, учился заповедям жизни в природе, любил и отпускал близких. Его путь — не для всех, ведь ему суждено стать Королем.

В основе спектакля — пьеса, написанная по мотивам романа Феликса Зальтена «Бэмби». По своей структуре это роман взросления, то есть история героя от рождения до какой-то точки в его будущем, когда он пройдет путь превращения и станет тем, кем ему предначертано быть. На пути его будут потери, ему предстоит принимать тяжелые решения, часто он будет в шаге от гибели, но каждый раз он будет возвращаться к жизни и к ее бесконечному чуду. Все же нет ничего на свете важнее самой жизни, и каждая душа при этом стоит того, чтобы за нее бороться.

Наш спектакль про саму жизнь, про её ценность и хрупкость. О сложных связях с сообществом и социальном уединении. О любви и преданности своему близкому кругу. О вековых законах, на которых держится мироздание. О смирении перед неизбежностью и умении жить жизнь, полную любви.

Наравне с драматическими артистами на сцене будут играть куклы-манекены и планшетные куклы; здесь они — атрибуты мира, символы, а не исключительный способ повествования. Артисты при этом существуют открыто, не прячась за ширмы или в маски.",Тюменский драматический театр
78,"Ёжик, Медвежонок и дырпыр","Ёжик и Медвежонок отличные друзья. Ёжик и Медвежонок любят ходить друг другу в гости и пить чай. К Ёжику и Медвежонку не редко приходят необычные посетители, и часто Ёжика и Медвежонка увлекают необыкновенные идеи. В лесу Ёжика и Медвежонка появляются Солнечные зайчики, Ромашки и многое, от чего захватывает дух, а на небе Ёжика и Медвежонка звёзды должны быть обязательно чистыми. У Ёжика и Медвежонка есть друг Заяц, которому тоже снятся удивительные сны.",Молодёжный театр «Ангажемент»
79,Ричард III,"Историческая пьеса Уильяма Шекспира в жанре трагедии написана примерно в 1591 году и изображает приход к власти и последующее краткое правление короля Англии Ричарда III. Классика, известная во всём мире, решена в Тюменском БДТ в экспериментальном, современном, ярко-театральном стиле. Действие перенесено во вневременное пространство некоего постапокалипсиса. Тюменский «Ричард III» — спектакль не только об узурпаторстве, предательстве, но и о самом главном — о любви и нелюбви. Главный герой ещё раз подтверждает истину, что все мы «родом из детства», и показывает, на что способен человек, чтобы доказать всему миру свою значимость.

Осторожно: спектакль может затронуть ваши скрепы.",Тюменский драматический театр
80,Поместье ворона,"Классическая детективная история, в которой действуют пять женщин и только один мужчина. Сможет ли он разгадать загадочные убийства в этом странном доме или станет очередной жертвой? Удастся ли инспектору Раффингу разобраться в изощренных женских фантазиях? Чья логика, наконец, победит: мужская или женская? Берегитесь, инспектор Раффинг, с женщинами шутить крайне опасно!",Молодёжный театр «Ангажемент»
81,Не всё коту Масленица,"Одна из самых остроумных комедий А. Н. Островского, населенная яркими острохарактерными персонажами предстанет перед зрителями в классическом прочтении и исторических костюмах.

За небогатой девушкой Агнией ухаживает купец Ахов и его приказчик Ипполит. Богатый и спесивый Ахов одаривает Агнию и требует от неё повиновения. Ипполит же — робок, но любит девушку всем сердцем. Перед героями пьесы встает выбор между деньгами и чувствами — эта тема актуальна во все времена. Что выберут герои, пройдя через череду смешных ситуаций?

Спектакль создан при поддержке муниципального гранта города Тюмени.",Молодёжный театр «Ангажемент»
82,Остров сокровищ,"Классика жанра приключений о поиске сокровищ перенесена авторами спектакля в далёкое будущее. Фантастика и приключения в одном спектакле!

История о поиске сокровищ перерастает в поиск настоящей правды о самом себе! Эта история удивит не только ребёнка, но и его родителей. Мир будущего погибает от экологической катастрофы, загрязненный бытовыми отходами, это ещё одна цель — привлечь внимание к экологической проблеме, научить сохранять наш мир чистым.

«Остров сокровищ» один из самых уникальных спектаклей, его репетиции начались онлайн ещё во время режима самоизоляции. А зрители театра принимали решения, путем голосования в интернете, какого актёра выбрать на ту или иную роль, делая этот фантастический спектакль самым народным спектаклем за всю историю театра!

В спектакле используется генератор дыма.",Молодёжный театр «Ангажемент»
83,Умная Собачка Соня,"Вы знаете, что с горчицей можно съесть всё, что угодно? А что обои обязательно должны быть с цветами? Знакомы ли вы с правилами хорошего тона для маленьких собак? А может быть, вы любите варенье, как и собачка Соня? Она отважно познаёт большой и непонятный мир, сталкиваясь с различными трудностями, от которых жизнь, конечно, только веселее. Весёлый разговор на жизненно важные темы для маленьких непосед и исследователей, а также для их родителей.",Молодёжный театр «Ангажемент»
89,Медовый человек,"Ритка – молодая бунтарка, выросшая в семье с нелюбимой мачехой и максимально «холодным» отцом, ищет проявления любви где-то во всемирной сети и собственном выдуманном мире. Наталья – немолодая преподавательница культурологии, которая развелась с мужем, также страдает от одиночества.

Отчаянные поиски любви приводят таких разных женщин к одному и тому же мужчине – певцу популярной группы. Чувства оборачиваются для героинь то апатией, то маниакальным желанием и приводят к трагическим последствиям. Истории двух героинь совсем не частные, а отражают глобальную боль современных женщин.",Тюменский драматический театр
90,Из жизни ископаемых,"Мастер-класс от корифеев нашей сцены в самом жизнеутверждающем проекте Тюменского Большого драматического театра «Из жизни ископаемых»!

В основе сюжета трагикомедии «Из жизни ископаемых» — цикл из семи пьес-миниатюр популярного драматурга и сценариста Фредерика Строппеля. Эти маленькие пьесы, самостоятельные по сюжету, объединены одной темой — жизнь людей «золотого возраста». В этих фарсовых, лиричных, смешных и трагичных историях раскрывается полный жанровый диапазон — от комедии до трагедии.

Каждая история — это добрая, лёгкая и чуть горьковатая улыбка времени. Ведь оно знает, что его власть не безгранична. Разве люди считаются со временем, когда влюблены? Разве думают о его быстротечности, когда пробуют начать жизнь с чистого листа? Время может забрать цвет волос, стереть со щёк краски молодости, замедлить походку и даже отнять память. Но стремление любить и быть любимым остаётся в человеке даже тогда, когда времени у него почти не остаётся...",Тюменский драматический театр
91,Яма,"«Скверный водевиль с глубокой драмой» об изломанных женских судьбах, которые по разным причинам оказались в публичном доме. Кто-то продаёт тело, а кто-то свою душу. Есть ли в этой истории главная героиня или герой — вот главный вопрос. В постановке в живую исполняются песни начала 20 века. Спектакль, как и произведение А. И. Куприна — это посвящение юношеству и матерям.",Молодёжный театр «Ангажемент»
92,Ухо Ван Гога,"Ван Гог – одно из самых известных имён мировой живописи и интерес к нему огромен. Его работы, растиражированные и цитируемые во всём – от детской одежды до этикеток на бутылках вина – это полноправная часть 21 века. Ван Гог повсюду, он в массовой культуре, на обложках журналов, он окружил нас настолько, что звукосочетание «вангог» известно, наверное, каждому.

Режиссёр, совместно с композитором, художником и артистом берут на себя смелость создать на вновь открытой для зрителей сцене «Молодость» Тюменского БДТ особую, яркую и полифоничную реальность самого, ух! Винсента Ван Гога, оторванную от повседневного мира. Игровую, необычную и очень манкую.

Композитор Владислав Крылов поставил перед собой любопытную задачу: подобрать звуки к цветам; художник спектакля, Арина Слободяник, визуализируя автопортреты Ван Гога, предлагает свою версию его облика, собирая как по нотам, музыку цвета, а режиссёр Роман Габриа на основе переписки Ван Гога с братом Тео – соберёт слова во внутренний неуловимый поток сознания безумного рисовальщика.",Тюменский драматический театр
93,Love is...,"История о людях, играх их воображения, переменчивости любви и космоса.

С антрактом",Тюменский драматический театр
94,Королева красоты,"Обращение режиссёра спектакля Александра Баргмана:
«...Пьеса «Королева красоты» — первая пьеса Мартина Макдонаха. Она была написана за семь дней и практически сразу стала ставиться в театрах всего мира.

Это история матери и дочери, изо дня в день проживающих свою застывшую жизнь в городке Линейн. История взаимной зависимости, накаляющейся и перерождающейся во вражду. Мэг и Морин привязаны друг к другу намертво и беспросветно, пока в городок не возвращается Пато Дули — бывшая и недослучившаяся любовь дочери. И... этих ирландок уже не остановить...

Думаю, что британо-ирландский драматург Мартин Макдонах — один из самых важных, сильных и отчаянных драматургов XX–XXI веков. В нём — крик о человеке, боль за человека, беспощадность и сострадание вместе.

Сквозь его пьесы смотрят на нас и не перестают не постигать человеческую природу Шекспир, Гоголь, Чехов, Достоевский, Горький, Уильямс, Беккет и другие художники, так и не нашедшие ответы на «вечные вопросы».

Макдонах ищет эти ответы яростно, страшно, саркастично и, кажется, не оставляет нам надежды на спасение... Но это не так.

Там, за греховностью и преступлениями, за безбожной, беспросветной островной жизнью героев его пьес (действие многих из них происходит на ирландских островах), там, за мелочностью и чудовищной грязью быта, за страхами и незнанием счастья — всё равно мерещится тот мир, где это понятие, зашифрованное в простое слово «любовь», обретает контуры смысла. Этой любви почти нет в пьесах, она затерта и засыпана чипсами, растворимыми супами, полита самогоном и кровью, но в мечтах, грёзах, снах — она прорастёт... Или могла бы прорасти.

Для меня — это первый опыт постановки пьесы Макдонаха. Сегодня, как и всегда, хочется говорить о свободе — свободе проявления чувств, свободе выбирать, свободе быть собой, при этом оберегая свободу другого, мир другого. Не посягнуть на... не подчинить... не присвоить... отпускать...

Буду рад, если знакомство с драматургией Макдонаха станет чем-то важным для зрителей...»

В этой пьесе, как и во всех других, достаточное количество жёсткого юмора. Очень и очень жёсткого юмора. Юморка «на грани». Будьте готовы

Кинозрителям имя Макдонаха знакомо по его фильмам, снятым по собственным сценариям: «Шестизарядник», «Залечь на дно в Брюгге», «Семь психопатов», «Три билборда на границе Эббинга, Миссури», «Банши Инишерина». Советую предварительно посмотреть, чтоб погружение в мир Мартина прошло плавно и безболезненно.",Тюменский драматический театр
95,Калечина-Малечина,"«Калечина-Малечина» — история про «невыросшую» которую в общем-то и за человека не очень-то считают (по крайней мере, она так думает). Кто? Родители, учителя, другие взрослые. Вот вырасту, тогда... мечтает девочка Катя, нет-нет, вы не думайте, она абсолютно обычный подросток (в смысле совершенно необычный человек, возраст такой, ну вы меня понимаете) — колючий, резкий, дерзкий, уходящий в себя, разглядывающий пятна на потолке в комнате, совершенно не умеющий решить ни одну из поставленных перед ней задач — связь с обществом, выполнение домашнего задания, бытие лучшей из лучшей или хотя бы не хуже чем все.

И в тот момент, когда Катя, совершенно запутавшись в клубке собственных нервов задает вопрос «Быть или не быть» на ее пути встречается Кикимора. Очень может быть, та самая, которая эти нити переплела.

Рекомендуется для просмотра с родителями с 14 лет.",Тюменский драматический театр
96,Жанна,"Режиссер Роман Габриа о спектакле: Поэму в стихах «Жанна» о давно интересовавшей меня Жанне д’Арк, я написал непосредственно в стенах ТБДТ во время пандемии в 2020 году. Для меня большая радость поставить этот спектакль именно в Тюменском Большом драматическом театре, с которым у меня связано огромное количество минут настоящего творческого счастья.

Жанна — давно уже миф о «деве Орлеанской», загадка жизни и смерти которой будет бесконечно волновать все виды искусств. Наша Жанна живет в мульти-времени, как будто запертая в сюжете собственной судьбы. Попытки выбраться из которой превращаются в театр, в поэзию, в монолог.

Сцена «Молодость» в ТБДТ — это в первую очередь возможностью поэкспериментировать в области актёрского существования. Предыдущий мой спектакль о сумасшедшем художнике Винсенте Ван Гоге с Александром Тихоновым в главной роли — это замечательный опыт такого поиска. Спектакль любят за его непосредственность и концентрат искусства актёра.

Надеюсь, что история о нашей Жанне станет так же интересна для тюменского зрителя.",Тюменский драматический театр
97,Предсказано словом моим,"Анна Ахматова и Марина Цветаева — два гениальных поэта, до которых пока не дано было подняться ни одному женскому имени в русской литературе. Но какую цену они заплатили за свой творческий дар? И почему этих людей так много связывает, хотя в жизни они виделись всего один раз?

Спектакль о творчестве А. Ахматовой и М. Цветаевой, о противоречивости каждой из них, об их жизни и их взаимоотношениях.

Зрителю представят, в первую очередь, не поэтов, а женщин, которые несли свой талант и одаренность через всю свою сложную и неоднозначную жизнь. Несли, как знамя, а, возможно, и как крест…",Дворец культуры «Нефтяник»
98,Пугачёв,"Историческая музыкальная драма в двух действиях.

Пьеса Ольги Погодиной-Кузминой по мотивам повести А. С. Пушкина «Капитанская дочка».

«Предать молчанию и забвению» само имя Емельяна Пугачёва и вычеркнуть страшный бунт из русской истории — так повелела императрица Екатерина II. И приказ был исполнен — на долгие годы свидетельства и документы о масштабном восстании 1773–1775 годов были надежно спрятаны в архивах и засекречены.

Даже Пушкин не получил доступа к протоколам допросов пугачевских соратников. Он исследовал отголоски бунта спустя 60 лет, когда в окрестностях Оренбурга ещё живы были свидетели трагических событий и прямые их потомки. Их рассказы, а также разрозненные письма, указы и воззвания послужили основой для истории молодого офицера Петра Гринёва, его соперника Алексея Швабрина и его невесты Марии Мироновой.

Переосмысляя пушкинскую повесть, дополняя историческим контекстом и архивными источниками, авторы спектакля «Пугачёв» задаются вопросами о причинах и последствиях «беспощадного русского бунта». Музыкальные номера, спецэффекты, визуальные парадоксы по-новому открывают знакомый сюжет, в котором каждый найдет ответы на вечные вопросы о добре и зле, и перекличку с сегодняшним днём.

«Пугачёв» — это яркий, фантастический, немного безумный образ, воплотивший русскую душу во всём её противоречии.",Тюменский драматический театр
99,Игрушки,"Милые уху, родные строчки стихов Агнии Барто превращают детство любого ребёнка в тёплый уютный мир, где есть помощь и поддержка, где есть ласковое слово и ободрение первых шагов, поступков. Агния Львовна родилась 4 февраля, к 110-летию этого события мы решили поставить спектакль, отправной точкой которого стали её знаменитые «Наша Таня громко плачет», «Идёт бычок качается» и другие стихи «энциклопедии» нескольких поколений.

В игровой форме юные спасатели Саша и Маша прочтут вместе со зрителями самые известные стихи и помогут малышам научиться ценить дружбу на примере помощи любимым игрушкам.

Рекомендуем для посещения с детьми от 2 лет.",Музейный комплекс им. Словцова
100,Песнь леса,"Удар. Пульс. Сердце. Ритмы барабанов, словно голоса Великого Леса будоражат нас и раскрывают тайну Жизни. Тайну Рождения и Смерти. Тайну лесной Вселенной. Путь Бемби- это первый шаг с мамой, первая потеря и первая любовь. Эта добрая история воспитывает сердце, пробуждает трепетное отношение ко всему живому. Временами история жёсткая, как и законы природы, когда выживает сильнейший, временами — страшная, когда приходит он, Человек. Охотник–несущий смерть и разрушение.

Сама железная Вселенная — гармонична и красива. Законы ее мудры. Здесь важное место занимает Дружба, Любовь, Материнство, Знания.

«Умей слушать, умей чуять, умей смотреть. Умей сам познавать жизнь. Будь счастлив,» — такой простой и вместе с тем сложный совет получает Бемби от Старого Вожака. Удар. Пульс. Сердце. И перед нами раскрывается тайна благородного и великого мира.",Театр кукол
101,Маленькие трагедии,"«Маленькие трагедии» — цикл коротких драматических пьес А. С. Пушкина, написанный им в 1830–1832 годах в Болдине. Он состоит из четырёх произведений: «Скупой рыцарь», «Моцарт и Сальери», «Каменный гость» и «Пир во время чумы».

Пушкин размышляет в них о человеческих пороках и игре с судьбой, сводит счёты с отцом и решает вопрос о том, совместимы ли гений и злодейство. Это одноактные пьесы в стихах, действие которых происходит в Западной Европе в разные времена. В основе сюжета трёх пьес («Каменный гость», «Скупой рыцарь», «Моцарт и Сальери») человеческие страсти (любовь, ревность, скупость, зависть) и их драматические проявления; тема четвёртой, «Пира во время чумы», — глобальная катастрофа, которая мыслится как расплата или испытание.

В спектакль «Маленькие трагедии» по мотивам пьес Александра Пушкина в одном действии войдут «Моцарт и Сальери», «Каменный гость» и «Пир во время чумы».",Тюменский драматический театр
102,Вот как бывает!,"Спектакль «Вот так бывает!» по рассказам Михаила Зощенко — это озорное действо, в котором герои сталкиваются с различными трудностями своей жизни, преодолевая их с самоиронией и юмором.

В спектакле представлены истории из жизни обычных людей, в которых каждый зритель может узнать себя или своих знакомых.

Актёры заразительно и весело передают атмосферу того времени, делая рассказы актуальными и близкими современному зрителю.

Музыкальное сопровождение и танцевальные номера, добавляя спектаклю комичность и живость, усиливают образ эпохи, в которой жили персонажи рассказов «Обезьяний язык», «Сила таланта», «Петухов», «Случай в больнице», «История болезни», «Нервные люди» и «Кинодрама».",Дворец культуры «Нефтяник»
103,Красная Шапочка,"Эта история очень необычная. Как, впрочем, и то, что ее рассказывают два лесоруба. Лесорубы веселые, но по характеру абсолютно разные. Один очень любит трудиться, усердно выполняет свою работу, второму же только бы найти причину не работать.

Спросите, а при чем тут лесорубы? При том! Ведь они не только расскажут историю о Красной Шапочке, но и покажут, а еще вместе со зрителями спасут ее от Волка. Эта история закончится благополучно и вкусно. Да-да. Именно вкусно! Ведь бабушка в сказке тоже необычная, она напекла всем пирожки!",Музейный комплекс им. Словцова
104,Дон Кихот,"Московский государственный театр «Русский балет» представляет постановку балета Людвига Минкуса «Дон Кихот». Творение великих балетмейстеров Мариуса Петипа и Александра Горского предстанет перед зрителями в новой редакции и режиссуре народного артиста СССР Вячеслава Гордеева, в свое время блистательно исполнявшего партию главного героя балета — цирюльника Базиля на сцене Большого театра Большой знаток классики, Гордеев-балетмейстер сохранил в хореографической ткани спектакля золотые страницы творчества Петипа и Горского.

При этом он придал спектаклю новый сценографический облик. Балет заиграл новыми красками, стал динамичнее и понятней по сюжету. В музыкальную ткань постановки вошли страницы, которые в партитуре «Дон Кихота» никогда не звучали. Нотный материал предоставлен венским обществом Людвига Минкуса. Главные герои — Дон Кихот и Санчо Панса теперь не просто комедийно-драматические герои — они приобрели танцевальные партии. В спектакле появятся новые персонажи, например, Алонсо Кихано (молодой Дон Кихот), монахиня Жуанна, племянница Дон Кихота. Впервые зрители увидят дуэтные фрагменты и вариация Алонсо Кихано в испанском стиле и другие виртуозные соло главных героев — исключительное авторство Гордеева.

По словам художественного руководителя «Русского балета» Вячеслава Гордеева, «Дон Кихот» — балет-праздник, соединяет изящную веселую музыку, сложнейшую хореографическую технику, красочные декорации, яркие костюмы. Он полон любви, юмора и веселья. Зритель получит заряд позитивных эмоций, хорошее настроение, а артисты, демонстрируя свое виртуозное мастерство, смогут блеснуть во всей красе«. Эксклюзивом театра «Русский балет» новый «Дон Кихот» стал и благодаря оригинальному оформлению известных театральных художников Игоря Нежного (декорации) и Татьяны Тулубьевой (костюмы). Декорации и костюмы получились не просто удачными, они удивят своей красотой даже бывалых театралов.",Филармония
105,Сказки Сороки-белобоки. Рукавичка,"Простой и понятный ребенку сюжет сказки разыграет для малышей с детства всем знакомая Сорока-белобока.

Спектакль насыщен многочисленными русскими народными закличками, потешками и пестушками: «Водичка-водичка, умой мое личико», «Дождик, дождик, пуще, будет хлеба гуще», «Потягунюшки-порастунюшки», «Солнышко-колоколнышко». Разумеется, все родители знают, какая великая сила заключена в этих простых и незатейливых словах.

Одна из первых сказок, с которыми знакомятся малыши, на этот раз превратится в театральный спектакль, который поможет ребенку открыть для себя новый мир театра.",Музейный комплекс им. Словцова
106,Бармалей,"Сказочная история по одноименному произведению К. Чуковского раскроется для маленького зрителя совсем с другой стороны. В нашей истории родители говорят с детьми на одном языке, вместе отправляются с ними в Африку и спасают доктора Айболита.",Молодёжный театр «Ангажемент»
107,Первый снег,"Зимний нежный спектакль о зиме и о зимних чудесах

Что происходит в спектакле? Мы играем со зрителями настоящими музыкальными снежками, появляется Белка, она собирает орешки — запасы на зиму. Белка убегает в зимний лес. В волшебных чемоданах — настоящее песочное шоу, в нем участвуют все дети! На маленьком катке катаются пара фигуристов, а мы ловим холодные ночные звёзды и любуемся на Луну. Все пойманные звёзды превращаются в подарки. Начинается настоящая метель и мы все вместе строим снеговиков! Убежавшая белка возвращается, чтобы поиграть с детьми.

Рекомендуем для детей от 10 месяцев до 4-х лет!",Музейный комплекс им. Словцова
108,Первый снег,"Зимний нежный спектакль о зиме и о зимних чудесах

Что происходит в спектакле? Мы играем со зрителями настоящими музыкальными снежками, появляется Белка, она собирает орешки — запасы на зиму. Белка убегает в зимний лес. В волшебных чемоданах — настоящее песочное шоу, в нем участвуют все дети! На маленьком катке катаются пара фигуристов, а мы ловим холодные ночные звёзды и любуемся на Луну. Все пойманные звёзды превращаются в подарки. Начинается настоящая метель и мы все вместе строим снеговиков! Убежавшая белка возвращается, чтобы поиграть с детьми.

Рекомендуем для детей от 10 месяцев до 4-х лет!",Музейный комплекс им. Словцова
109,Две королевы,Драма в двух действиях по пьесе Фридриха Шиллера «Мария Стюарт»,Тюменский драматический театр
110,"Ромка, Фомка и Артос","Герои нашего спектакля живут в Тюмени! Не может быть? Ещё как может! Сказку о верных друзьях — собаках Ромке, Фомке и Артосе придумал известный тюменский писатель Константин Лагунов.

Жили-поживали друзья весело, а потом хозяин Ромки Рамазана собрался на Север... И Ромка решил отправиться за ним! Как Фомке и Артосу друга одного в трудный путь отпустить? «Один за всех, и все за одного!» Верные девизу отважных мушкетёров неразлучные друзья отправляются в необычайное путешествие. А какое же путешествие без неожиданных встреч и трудностей? Ромка, Фомка и Артос справятся с любыми препятствиями! Главное не вешать нос и всегда выручать друг друга!

Приключения весёлых друзей не оставят равнодушными ни малышей, ни взрослых! А музыка и песни, что звучат в спектакле, обязательно поднимут настроение!",Музейный комплекс им. Словцова
111,Мюзикл-шоу. «Нотр-Дам де Пари» и «Ромео и Джульетта»,"Мюзикл-шоу — это яркая, динамичная, костюмированная и театрализованная программа в потрясающем «живом» исполнении звёзд первого состава оригинальных мюзиклов.

«Я душу дьяволу продам за ночь с тобой» — и можно больше ничего не говорить. За последние 10 лет эта фраза стала культовой. Она олицетворяет собой целый период в истории современной Российской культуры: эпоху музыкального театра, эпоху мюзикла. Жанр мюзикла уверенно завоёвывает популярность в России. Москва и Санкт-Петербург становятся «русским Бродвеем» — в обеих столицах сейчас идут около десятка громких проектов.

Наши артисты знакомы зрителям по мюзиклам «Нотр Дам де Пари», «Ромео и Джульетта», «Кабаре», «Три мушкетера», «Монте Кристо», «Маммамия», «Метро» и другие. Мы создали программу «Мюзикл-шоу» для того, чтобы у зрителей появилась уникальная возможность познакомиться с обширным наследием мирового музыкального театра, а также услышать любимые арии (Belle, «Короли ночной Вероны» и другие) в великолепном «живом» исполнении признанных звёзд московских мюзиклов.

В нашем мюзикл-шоу не просто звучат арии из знаменитых мюзиклов, а демонстрируются отрывки из спектаклей, которые связаны между собой в единую историю интересным конферансом. Первое отделение — это легендарная история «Нотр Дам де Пари», а второе отделение — история Ромео и Джульетты. Две потрясающие истории в одной программе. Только «живое» исполнение!

Вы совершите увлекательное путешествие в удивительный мир мюзикла, насладитесь великолепными голосами. В нашем шоу собрано всё самое лучшее из золотой коллекции мюзиклов, снискавших себе мировую славу.

В составе исполнителей возможны изменения без дополнительного уведомления.",ДК «Железнодорожник»
113,Девичник по Червишевским деревням,"Сначала вы проникнитесь деревенским духом, услышите истории и легенды из уст поэта Сергея Политова, увидите тот самый деревянный храм, сохранившийся до наших дней, познакомитесь с будоражащей сознание историей старообрядцев и сибирских татар., в древнем колодце наберете живительной водицы а место силы на полнит вас энергией и духом деревенской жизни.

А сколько фотозон приготовили для вас и мы и эти окрестности, фотографировать не перефотографировать.

Дегустации и чаепитие с традиционными никого не оставят равнодушными.

Ну и какой девичник без гаданий и обрядовых игр.

В стоимость входит:
— Трансфер;
— Экскурсионное сопровождение;
— Чаепитие с пирогом.

Место сбора группы: отель Vostok.",Остановка наземного транспорта «Гостиница Восток»
114,Шесть блюд из одной курицы,"Авантюрная комедия по пьесе Ганны Слуцки, автора сценариев более чем 25 фильмов, среди которых «Каникулы у моря», «Три полуграции», и других. Очень смешная, современная и, где-то, трогательная история о Матери-миллионерше, выбирающей подругу жизни для своего отпрыска, большого уже «мальчика», и о сыне, снисходительно относящемся к причудам и попечениям матери, о призраке грядущего банкротства и о любви.",Молодёжный театр «Ангажемент»
115,Струнное трио Lumos,"Фестиваль камерной музыки им. Ары Грачиковича Богданяна.

Фестиваль камерной музыки носит имя выдающегося музыканта, преподавателя по классу скрипки, заслуженного деятеля искусств РФ, профессора кафедры скрипки Московской государственной консерватории им. Чайковского Ары Грачиковича Богданяна, внесшего огромный вклад в развитие отечественной педагогики и исполнительского искусства.

I фестиваль посвящён исполнительскому искусству игры на скрипке — инструменту, являющемуся основой камерного ансамбля.

Ансамбль солистов Лундстрем Трио.
В составе:
Мария Воскресенская — фортепиано;
Леонид Лундстрем — скрипка;
Владимир Нор — виолончель.

Программа «Два взгляда на русскую историю»:
Шостакович — Трио № 2 ор. 67 ми минор;
Шебалин — Трио ля мажор.

Продолжительность концерта — 1 час 30 минут с антрактом.
Читать полностью",Филармония
